priority_rank,name,score,segment,industry,total_jobs,active_jobs,avg_salary,recommended_tier,suggested_hook,is_warm_intro,is_government
459,Sean Dobson,31,Other Services,Other Service Activities,7,4,0,Pro,"7 hires. careers.ky direct: eliminate recruiter fees (~CI$21,000 saved annually).",,
460,Ironshore Security; Ltd.,30,Security Services,Administrative and Support Service Activities,7,5,20475,Pro,"7 hires. careers.ky direct: eliminate recruiter fees (~CI$21,000 saved annually).",,
461,Cayman Turtle Conservation And Education Centre Ltd.,28,Dive & Tourism Operators,Administrative and Support Service Activities,9,3,0,Pro,"9 hires. careers.ky direct: eliminate recruiter fees (~CI$27,000 saved annually).",,
462,The Pool Store Limited,28,Other Services,Administrative and Support Service Activities,9,3,0,Pro,"9 hires. careers.ky direct: eliminate recruiter fees (~CI$27,000 saved annually).",,
463,Power Flower Ltd.,28,Utilities & Telecoms,Administrative and Support Service Activities,9,2,0,Pro,"9 hires. careers.ky direct: eliminate recruiter fees (~CI$27,000 saved annually).",,
464,Angelique Nicole Mcloughlin T/a Pm Consultancy,28,Other Services,Administrative and Support Service Activities,9,4,0,Pro,"9 hires. careers.ky direct: eliminate recruiter fees (~CI$27,000 saved annually).",,
465,Cayman Platinnum Janitorial Ltd,28,Other Services,Administrative and Support Service Activities,9,3,0,Pro,"9 hires. careers.ky direct: eliminate recruiter fees (~CI$27,000 saved annually).",,
466,Nadine Mcbean T/a All About Admin Ltd,28,Other Services,Administrative and Support Service Activities,8,3,0,Pro,"8 hires. careers.ky direct: eliminate recruiter fees (~CI$24,000 saved annually).",,
467,Cayman Handi Services Ltd.,28,Other Services,Administrative and Support Service Activities,8,4,0,Pro,"8 hires. careers.ky direct: eliminate recruiter fees (~CI$24,000 saved annually).",,
468,Vigoro Nursery Ltd.,28,Other Services,Administrative and Support Service Activities,8,4,0,Pro,"8 hires. careers.ky direct: eliminate recruiter fees (~CI$24,000 saved annually).",,
469,ROSE GADSBY T/A CSS JANITORIAL SERVICES,28,Other Services,Administrative and Support Service Activities,8,6,0,Pro,"8 hires. careers.ky direct: eliminate recruiter fees (~CI$24,000 saved annually).",,
470,Richard W. Ebanks T/a Rich Gardeners,28,Banking & Retail Finance,Administrative and Support Service Activities,7,5,0,Pro,"7 hires. careers.ky direct: eliminate recruiter fees (~CI$21,000 saved annually).",,
471,Nadia M. Powery,28,Utilities & Telecoms,Administrative and Support Service Activities,7,3,0,Pro,"7 hires. careers.ky direct: eliminate recruiter fees (~CI$21,000 saved annually).",,
472,K9 Security Services Ltd,28,Security Services,Administrative and Support Service Activities,7,1,0,Pro,"7 hires. careers.ky direct: eliminate recruiter fees (~CI$21,000 saved annually).",,
473,The Group Ltd,28,Other Services,Administrative and Support Service Activities,7,3,0,Pro,"7 hires. careers.ky direct: eliminate recruiter fees (~CI$21,000 saved annually).",,
,Cayman Islands Monetary Authority,95,Government & Statutory Bodies,Financial and Insurance Activities,69,32,101294,Enterprise,"69 positions at CI$101,294 avg. That's CI$1,397,000+ in recruiter fees. careers.ky: CI$9,588/year Enterprise.",,✓
,Health City Cayman Islands,75,Government & Statutory Bodies,Human Health and Social Work Activities,64,27,30000,Enterprise,You posted 64 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,✓
,The University College Of The Cayman Islands,66,Government & Statutory Bodies,Education,42,30,0,Enterprise,42 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,✓
,The Roman Catholic Archbishop Of The Cayman Islands,46,Government & Statutory Bodies,Other Service Activities,18,6,0,Pro,"18 hires. careers.ky direct: eliminate recruiter fees (~CI$54,000 saved annually).",,✓
,Water Authority-cayman,46,Government & Statutory Bodies,Water Supply; Sewerage,18,11,0,Pro,"18 hires. careers.ky direct: eliminate recruiter fees (~CI$54,000 saved annually).",,✓
,Cayman Islands Urgent Care; Ltd. T/a Doctors Express,56,Government & Statutory Bodies,Human Health and Social Work Activities,17,5,0,Pro,"Medical recruitment shouldn't cost CI$170,000+. careers.ky: streamlined hiring, same quality talent.",,✓
,The Cayman Islands Humane Society,51,Government & Statutory Bodies,Agriculture,14,9,58435,Pro,"14 hires. careers.ky direct: eliminate recruiter fees (~CI$42,000 saved annually).",,✓
,Cayman Islands Conference Of Seventh-day Adventists,46,Government & Statutory Bodies,Other Service Activities,13,7,0,Pro,"13 hires. careers.ky direct: eliminate recruiter fees (~CI$39,000 saved annually).",,✓
,Legal Services Supervisory Authority,51,Government & Statutory Bodies,Professional,11,10,43000,Pro,11 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,✓
,Citco Fund Services (cayman Islands) Limited,66,Government & Statutory Bodies,Financial and Insurance Activities,11,4,0,Pro,"11 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,✓
,Alvarez & Marsal Cayman Islands Limited,66,Government & Statutory Bodies,Financial and Insurance Activities,11,5,0,Pro,"11 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,✓
,The Cayman Islands Brewery Ltd.,46,Government & Statutory Bodies,Manufacturing,10,3,0,Pro,"10 hires. careers.ky direct: eliminate recruiter fees (~CI$30,000 saved annually).",,✓
,Cable & Wireless (Cayman Islands) Limited,58,Government & Statutory Bodies,Information and Communication,10,5,0,Pro,"10 hires. careers.ky direct: eliminate recruiter fees (~CI$30,000 saved annually).",,✓
,Cayman Islands Monetary Authority,95,Government & Statutory Bodies,Financial and Insurance Activities,69,32,101294,Enterprise,"69 positions at CI$101,294 avg. That's CI$1,397,000+ in recruiter fees. careers.ky: CI$9,588/year Enterprise.",,✓
,Health City Cayman Islands,75,Government & Statutory Bodies,Human Health and Social Work Activities,64,27,30000,Enterprise,You posted 64 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,✓
,The University College Of The Cayman Islands,66,Government & Statutory Bodies,Education,42,30,0,Enterprise,42 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,✓
,Citco Fund Services (cayman Islands) Limited,66,Government & Statutory Bodies,Financial and Insurance Activities,11,4,0,Pro,"11 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,✓
,Alvarez & Marsal Cayman Islands Limited,66,Government & Statutory Bodies,Financial and Insurance Activities,11,5,0,Pro,"11 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,✓
,Cable & Wireless (Cayman Islands) Limited,58,Government & Statutory Bodies,Information and Communication,10,5,0,Pro,"10 hires. careers.ky direct: eliminate recruiter fees (~CI$30,000 saved annually).",,✓
,Cayman Islands Urgent Care; Ltd. T/a Doctors Express,56,Government & Statutory Bodies,Human Health and Social Work Activities,17,5,0,Pro,"Medical recruitment shouldn't cost CI$170,000+. careers.ky: streamlined hiring, same quality talent.",,✓
,The Cayman Islands Humane Society,51,Government & Statutory Bodies,Agriculture,14,9,58435,Pro,"14 hires. careers.ky direct: eliminate recruiter fees (~CI$42,000 saved annually).",,✓
,Legal Services Supervisory Authority,51,Government & Statutory Bodies,Professional,11,10,43000,Pro,11 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,✓
,The Roman Catholic Archbishop Of The Cayman Islands,46,Government & Statutory Bodies,Other Service Activities,18,6,0,Pro,"18 hires. careers.ky direct: eliminate recruiter fees (~CI$54,000 saved annually).",,✓
,Water Authority-cayman,46,Government & Statutory Bodies,Water Supply; Sewerage,18,11,0,Pro,"18 hires. careers.ky direct: eliminate recruiter fees (~CI$54,000 saved annually).",,✓
,Cayman Islands Conference Of Seventh-day Adventists,46,Government & Statutory Bodies,Other Service Activities,13,7,0,Pro,"13 hires. careers.ky direct: eliminate recruiter fees (~CI$39,000 saved annually).",,✓
,The Cayman Islands Brewery Ltd.,46,Government & Statutory Bodies,Manufacturing,10,3,0,Pro,"10 hires. careers.ky direct: eliminate recruiter fees (~CI$30,000 saved annually).",,✓
